hotel_address,average_score,standard_deviation,skew,number_of_reviews,name,city,latitude,longitude
Gran Via de las Corts Catalanes 629 Eixample 08010 Barcelona Spain,8.53759398496,1.49004786906,-1.137392144,133,Hotel Indigo Barcelona Plaza Catalunya,Barcelona,41.391362,2.1700953
Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,9.2388,1.10457899197,-2.33396002017,500,Catalonia Passeig de Gr cia 4 Sup,Barcelona,41.3901396,2.1696699
Gran Via de les Corts Catalanes 668 Eixample 08010 Barcelona Spain,9.47927170868,0.926462722384,-3.18101266832,357,Hotel Palace GL,Barcelona,41.3916258,2.1716378
Gran Via de les Corts Catalanes 678 Eixample 08010 Barcelona Spain,8.44588235294,1.46967802475,-1.05280939525,340,Grupotel Gran Via 678,Barcelona,41.392344,2.1729157
Gran Via de les Corts Catalanes 700 Eixample 08010 Barcelona Spain,8.93166666667,1.2892300827,-1.6496572512,360,Hotel Casa Bonay,Barcelona,41.3935967,2.1742718
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,7.34770591487,1.8985924251,-0.412102389844,1809,The Cumberland A Guoman Hotel,London,51.514879,-0.1606501
Grieshofgasse 11 12 Meidling 1120 Vienna Austria,7.88670520231,1.5223517264,-0.790692446962,173,FourSide Hotel Vienna City Center,Vienna,48.1825159,16.3322428
Gro e Stadtgutgasse 31 02 Leopoldstadt 1020 Vienna Austria,7.61111111111,1.81246375843,-0.712193170046,135,Hotel Vienna,Vienna,48.2196722,16.3863588
Grosvenor Square Westminster Borough London W1K 6JP United Kingdom,7.7234375,1.71914180026,-0.531272157769,256,London Marriott Hotel Grosvenor Square,London,51.511579,-0.1500193
Gudrunstra e 184 10 Favoriten 1100 Vienna Austria,8.29428571429,1.52834955366,-1.25969281106,210,Rainers Hotel Vienna,Vienna,48.1791893,16.3625367
Guillem Tell 49 Sarri St Gervasi 08006 Barcelona Spain,8.79225,1.28190214927,-1.51684675555,400,Pol Grace Hotel,Barcelona,41.4017465,2.1477365
Gutheil Schoder Gasse 7B 10 Favoriten 1100 Vienna Austria,8.10641025641,1.6597410322,-1.16393424139,390,Austria Trend Hotel Bosei Wien,Vienna,48.1629737,16.3404024
Habsburgergasse 5 01 Innere Stadt 1010 Vienna Austria,8.21666666667,1.54812264744,-1.15167693641,294,Pertschy Palais Hotel,Vienna,48.2082256,16.3684123
Hafnersteig 7 01 Innere Stadt 1010 Vienna Austria,8.94144736842,0.993184995002,-1.14219828511,152,Alma Boutique Hotel,Vienna,48.2112491,16.3776519
Half Moon Street Westminster Borough London W1J 7BH United Kingdom,8.67715430862,1.4326230325,-1.32783535719,499,Flemings Mayfair,London,51.5064607,-0.1454198
Half Moon Street Westminster Borough London W1J 7BN United Kingdom,7.27892561983,1.78663374169,-0.272084353758,484,Hilton London Green Park,London,51.5064534,-0.1456146
Halkin Street Westminster Borough London SW1X 7DJ United Kingdom,9.26896551724,1.16866940464,-3.21613371992,29,COMO The Halkin,London,51.4988977,-0.1562015
Hamilton Place Park Lane Westminster Borough London W1J 7DR United Kingdom,9.37032967033,0.938970417886,-2.14063810759,91,Four Seasons Hotel London at Park Lane,London,51.504439,-0.149911
Handelskai 269 02 Leopoldstadt 1020 Vienna Austria,8.14178403756,1.71496955496,-0.98185571261,426,Hilton Vienna Danube Waterfront,Vienna,48.2140659,16.4217627
Hanger Lane Ealing London W5 3HL United Kingdom,8.59272727273,1.43626725799,-1.28087198655,385,Hotel 55,London,51.5213303,-0.2915052
Harmoniegasse 5 7 09 Alsergrund 1090 Vienna Austria,9.24951456311,0.846210927567,-1.82601512776,206,The Harmonie Vienna,Vienna,48.2199427,16.3598984
Hasenauerstra e 12 19 D bling 1190 Vienna Austria,8.97868852459,0.94058753874,-1.10832289216,61,Hotel Park Villa,Vienna,,
Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,8.8965542522,1.22270456775,-1.71443156868,1364,WestCord Fashion Hotel Amsterdam,Amsterdam,52.357655,4.844576
Herengracht 255 Amsterdam City Center 1016 BJ Amsterdam Netherlands,9.43349633252,0.843968073118,-2.44435027951,409,The Hoxton Amsterdam,Amsterdam,52.3718665,4.8873794
Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,9.36497277677,0.967540438048,-2.61786072766,551,Ambassade Hotel,Amsterdam,52.369391,4.8871721
Herengracht 519 525 Amsterdam City Center 1017 BV Amsterdam Netherlands,9.36458923513,0.998901904819,-2.61466362737,353,Banks Mansion All Inclusive Hotel,Amsterdam,52.3653868,4.8931979
Herengracht 542 556 Amsterdam City Center 1017 CG Amsterdam Netherlands,9.53521126761,0.873908411961,-4.79192731801,142,Waldorf Astoria Amsterdam,Amsterdam,52.364768,4.896945
Hernalser Hauptstra e 105 17 Hernals 1170 Vienna Austria,7.93221757322,1.66117545288,-1.06556970875,239,Senator Hotel Vienna,Vienna,48.2195864,16.3255339
Hernalser Hauptstra e 187 17 Hernals 1170 Vienna Austria,9.3625,0.873157400561,-1.60694259529,40,Hotel J ger,Vienna,48.2238463,16.3138357
Herrengasse 10 01 Innere Stadt 1010 Vienna Austria,9.06046065259,1.19114157384,-1.90070320342,521,Steigenberger Hotel Herrenhof,Vienna,48.2097958,16.3658705
Herrengasse 12 01 Innere Stadt 1010 Vienna Austria,8.33669354839,1.68082311712,-1.26108703682,248,Radisson Blu Style Hotel Vienna,Vienna,48.2101211,16.3655537
Hertha Firnberg Stra e 5 10 Favoriten 1100 Vienna Austria,8.03,1.66483759284,-0.991481168158,20,Hilton Garden Inn Vienna South,Vienna,48.1667886,16.344908
Hietzinger Hauptstra e 10 14 13 Hietzing 1130 Vienna Austria,8.58741258741,1.5047215627,-1.23464978413,429,Austria Trend Parkhotel Sch nbrunn Wien,Vienna,48.1866506,16.3023375
Hietzinger Hauptstra e 134 13 Hietzing 1130 Vienna Austria,8.1203125,1.77219975293,-1.18958419138,64,Club Hotel Cortina,Vienna,48.1877942,16.2727214
Hintschiggasse 1 10 Favoriten 1100 Vienna Austria,8.07887931034,1.58983883153,-1.05057679106,464,Arion Cityhotel Vienna und Appartements,Vienna,48.1585332,16.3451115
Hobbemakade 50 Oud Zuid 1071 XL Amsterdam Netherlands,8.0359832636,1.71360172061,-1.11519372523,239,NH Amsterdam Museum Quarter,Amsterdam,52.3560923,4.8858229
Hoffingergasse 26 28 12 Meidling 1120 Vienna Austria,8.28,1.79079517769,-0.782362142064,20,Gartenhotel Altmannsdorf Hotel 1,Vienna,48.1640345,16.3216061
Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,7.77642276423,1.75866068739,-0.651826356296,1845,Hilton London Kensington Hotel,London,51.5051084,-0.213266
Hollandstra e 3 02 Leopoldstadt 1020 Vienna Austria,8.17829457364,1.70733533431,-1.17656571421,129,Hotel Mercure Wien City,Vienna,48.2152663,16.376103
Hoogoorddreef 1 Zuidoost 1101 BA Amsterdam Netherlands,8.51786743516,1.48527378405,-1.32758533306,347,Courtyard by Marriott Amsterdam Arena Atlas,Amsterdam,52.3101182,4.9472918
